Date,SMB %,HML %,WML %,VIX %,Rm %,Rf %,Rm-Rf %,MSCI World (Rgm %),Rgm-Rf %,Info Edge Returns %
11-Sep-15,0.08335082,1.05677098,0.50175989,0.93,0.07128497,0.02870907,0.0425759,0.1,0.07129093,-2.467797475
14-Sep-15,-0.90352324,1.28972291,-0.0686006,-2.62,1.1652462,0.02870907,1.13653713,-0.41,-0.43870907,-1.451454724
15-Sep-15,0.19243066,0.0387144,0.38046464,-2.37,-0.51430124,0.02870907,-0.54301031,0.85,0.82129093,-0.504212831
16-Sep-15,0.04895697,-0.67659718,-0.41560808,-7.35,0.31420848,0.02870907,0.28549941,1.21,1.18129093,0.613456025
18-Sep-15,0.11040394,1.23366216,0.30417713,-16.84,1.04230747,0.028858,1.01344947,-1.34,-1.368858,5.427795083
21-Sep-15,0.25178594,1.66617668,0.2099665,-0.63,0.25280492,0.028858,0.22394692,-0.11,-0.138858,-2.105858687
22-Sep-15,1.2175543,-1.19301409,0.78954534,11.92,-1.65791255,0.028858,-1.68677055,-1.73,-1.758858,1.265009953
23-Sep-15,-0.13589387,0.89789601,0.34274638,1.68,0.38526578,0.028858,0.35640778,-0.26,-0.288858,0.481927711
24-Sep-15,0.2980373,-0.07056878,1.17077303,0.94,0.22785705,0.02852282,0.19933423,-0.58,-0.60852282,0.523791493
28-Sep-15,-0.13311205,0.25343101,0.17283155,3.76,-0.65624162,0.02852282,-0.68476444,-2.17,-2.19852282,-0.138112876
29-Sep-15,-0.30645827,0.90913421,0.22336701,-0.45,0.12870951,0.02852282,0.10018669,-0.62,-0.64852282,0.559502106
30-Sep-15,-0.07277325,0.0056592,-0.28155668,-9.02,1.40735288,0.02852282,1.37883006,2.03,2.00147718,0.400100025
01-Oct-15,0.28046509,-0.42328994,0.4454484,-1.99,0.08724259,0.02729142,0.05995117,0.38,0.35270858,-0.273972603
05-Oct-15,-0.59431587,1.16241384,-0.5305635,-0.56,1.87785075,0.02729142,1.85055933,1.89,1.86270858,-0.586913087
06-Oct-15,0.20178741,0.64782923,-1.27625155,0.93,0.55120479,0.02729142,0.52391337,0.21,0.18270858,-0.087928652
07-Oct-15,0.2343877,2.14158938,-2.26817788,0.17,0.37524843,0.02729142,0.34795701,0.76,0.73270858,-0.326879557
08-Oct-15,0.3892864,0.75629643,-0.59342826,1.16,-0.49661076,0.02729142,-0.52390218,0.61,0.58270858,0.315338042
09-Oct-15,0.09657623,-0.19625794,-1.32063633,-3.26,0.24771756,0.02729142,0.22042614,0.61,0.58270858,0.54696341
12-Oct-15,0.15338239,0.17889957,-1.21218768,1.04,-0.26189008,0.02729142,-0.2891815,0.04,0.01270858,-1.413118239
13-Oct-15,1.01654956,0.36819435,0.55483473,-5.79,-0.02592636,0.02729142,-0.05321778,-0.8,-0.82729142,0.539100653
14-Oct-15,0.9306551,0.14012013,0.36954875,-1.64,-0.28124181,0.02729142,-0.30853323,-0.49,-0.51729142,-0.107241988
15-Oct-15,-0.3964745,0.45039166,-1.01771496,-3.1,0.68624022,0.02729142,0.6589488,1.38,1.35270858,0.126302494
16-Oct-15,-0.53746734,0.27947667,-0.11658899,-5.21,0.47120587,0.02729142,0.44391445,0.46,0.43270858,0.170293283
19-Oct-15,0.47023931,0.01611618,0.94375631,3.7,0.56946088,0.02729142,0.54216946,-0.22,-0.24729142,-0.251857449
20-Oct-15,0.4646233,-0.20863238,0.3948782,0.7,0.07426963,0.02729142,0.04697821,-0.14,-0.16729142,-0.271430375
21-Oct-15,0.17656828,-0.44374724,0.02671178,-2.19,-0.0975863,0.02729142,-0.12487772,-0.28,-0.30729142,0.018988544
